"source","en","fr","context"
"Search…","Search…","Recherche…","/src/Charcoal/Admin/Property/Input/DualSelectInput.php"
"Clear Results","Clear Results","Effacer les résultats","/templates/charcoal/admin/widget/search.mustache"
"Toggle Dropdown","Toggle Dropdown","Basculer le menu déroulant","/templates/charcoal/admin/widget/actions/dropdown.mustache,/templates/charcoal/admin/widget/sidemenu/actions.mustache"
"List Type","List Type","Type de liste","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"List File","List File","Fichier de liste","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"Group","Group","Groupe","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"None","None","Aucun","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"New","New","Nouveau","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"Default Language","Default Language","Langage par défaut","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"Import List","Import List","Importer la liste","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"Error","Error","Erreur","/templates/charcoal/admin/widget/dialog/importlist.mustache"
"Denied","Denied","Refusé","/templates/charcoal/admin/widget/form-group/acl-permissions.mustache"
"N/A","N/A","N/A","/templates/charcoal/admin/widget/form-group/acl-permissions.mustache"
"Allowed","Allowed","Permis","/templates/charcoal/admin/widget/form-group/acl-permissions.mustache"
"Revision #","Revision #","# de révision","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Date","Date","Date","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Author","Author","Auteur","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Changeset","Changeset","Ensemble de modifications","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Options","Options","Options","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Deprecated","Deprecated","Discontinué","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Restore","Restore","Rétablir","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Restore This Revision","Restore This Revision","Rétablir cette révision","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"No history of changes","No history of changes","Aucun historique de modifications","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Are you sure you want to restore this revision?","Are you sure you want to restore this revision?","Êtes-vous surs de vouloir rétablir cette révision?","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Any changes made since this revision will be canceled.","Any changes made since this revision will be canceled.","Tous les changements effectués depuis cette révision seront annulés.","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Error:","Error:","Erreur :","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"Unable to revert to the revision.","Unable to revert to the revision.","Impossible de rétablir la révision.","/templates/charcoal/admin/widget/form-group/object-revisions.mustache"
"No Template Options.","No Template Options.","Aucune option de gabarit.","/templates/charcoal/admin/widget/form-group/structure.mustache"
"Loading…","Loading…","Chargement en cours…","/templates/charcoal/admin/widget/graph/bar.mustache,/templates/charcoal/admin/widget/graph/line.mustache,/templates/charcoal/admin/widget/graph/pie.mustache"
"Errors:","Errors:","Erreurs :","/templates/charcoal/admin/widget/table/empty.mustache"
"No ""{{ objType }}"" objects found.","No ""{{ objType }}"" objects found.","Aucun objet de type ""{{ objType }}"" n'existe.","/templates/charcoal/admin/widget/table/empty.mustache"
"Add New Object","Add New Object","Ajouter un nouvel objet","/templates/charcoal/admin/widget/table/empty.mustache"
"Page: {{ page }} / {{ numPages }} ({{ numTotal }} in total)","Page: {{ page }} / {{ numPages }} ({{ numTotal }} in total)","Page: {{ page }} / {{ numPages }} ({{ numTotal }} au total)","/templates/charcoal/admin/widget/table/header-right.mustache"
"{{ numTotal }} in total","{{ numTotal }} in total","{{ numTotal }} au total","/templates/charcoal/admin/widget/table/header-right.mustache"
"Actions","Actions","Actions","/templates/charcoal/admin/widget/table/thead.mustache,/src/Charcoal/Admin/Widget/FormSidebarWidget.php"
"You have logged in successfully.","You have logged in successfully.","Votre connexion a bien été établie.","/src/Charcoal/Admin/Action/LoginAction.php"
"An error occurred while logging in","An error occurred while logging in","Une erreur est survenue lors de la connexion","/src/Charcoal/Admin/Action/LoginAction.php"
"{{ errorMessage }}: {{ errorThrown }}","{{ errorMessage }}: {{ errorThrown }}","{{ errorMessage }} : {{ errorThrown }}","/src/Charcoal/Admin/Action/LoginAction.php,/src/Charcoal/Admin/Action/LogoutAction.php,/src/Charcoal/Admin/Action/Object/DeleteAction.php,/src/Charcoal/Admin/Action/Object/ExportAction.php,/src/Charcoal/Admin/Action/Object/LoadAction.php,/src/Charcoal/Admin/Action/Object/ReorderAction.php,/src/Charcoal/Admin/Action/Object/RevertRevisionAction.php,/src/Charcoal/Admin/Action/Object/SaveAction.php,/src/Charcoal/Admin/Action/Object/UpdateAction.php,/src/Charcoal/Admin/Action/Widget/LoadAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineMultiAction.php"
"Invalid username or password","Invalid username or password","Nom d'utilisateur ou mot de passe invalide","/src/Charcoal/Admin/Action/LoginAction.php"
"You are now logged out.","You are now logged out.","Votre déconnexion a bien été effectuée.","/src/Charcoal/Admin/Action/LogoutAction.php"
"An error occurred while logging out","An error occurred while logging out","Une erreur est survenue lors de la déconnexion","/src/Charcoal/Admin/Action/LogoutAction.php"
"Missing username.","Missing username.","Nom d'utilisateur manquant.","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php,/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Missing CAPTCHA response.","Missing CAPTCHA response.","Réponse CAPTCHA manquante.","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php,/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Invalid or malformed CAPTCHA response.","Invalid or malformed CAPTCHA response.","Réponse CAPTCHA invalide ou malformé.","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php,/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Instructions to reset your password have been sent to the email address registered to {{ username }}.","Instructions to reset your password have been sent to the email address registered to {{ username }}.","Les instructions pour réinitialiser votre mot de passe ont été envoyées à l'adresse e-mail enregistrée à {{ username }}.","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php"
"An error occurred while processing the password reset request.","An error occurred while processing the password reset request.","Une erreur s'est produite lors du traitement de la demande de réinitialisation de mot de passe.","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php"
"{{ siteName }} — Password Reset","{{ siteName }} — Password Reset","{{ siteName }} — Réinitialiser le mot de passe","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php"
"Charcoal — Password Reset","Charcoal — Password Reset","Charcoal — Réinitialiser le mot de passe","/src/Charcoal/Admin/Action/Account/LostPasswordAction.php"
"Missing reset token.","Missing reset token.","Clé de réinitialisation manquante.","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Missing password","Missing password","Mot de passe manquant","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Missing password confirmation","Missing password confirmation","Confirmation de mot de passe manquant","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Passwords do not match","Passwords do not match","Les mots de passe ne correspondent pas","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"An error occurred while processing the password change.","An error occurred while processing the password change.","Une erreur s'est produite lors du traitement du changement de mot de passe.","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Invalid or expired reset token.","Invalid or expired reset token.","Clé de réinitialisation invalide ou expiré.","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Password has been successfully changed.","Password has been successfully changed.","Le mot de passe a été modifié avec succès.","/src/Charcoal/Admin/Action/Account/ResetPasswordAction.php"
"Failed to delete object","Failed to delete object","Échec de la suppression de l'objet","/src/Charcoal/Admin/Action/Object/DeleteAction.php"
"{{ parameter }} required, must be a {{ expectedType }}, received {{ actualType }}","{{ parameter }} required, must be a {{ expectedType }}, received {{ actualType }}","{{ parameter }} requis, doit être de type {{ expectedType }}, reçu {{ actualType }}","/src/Charcoal/Admin/Action/Object/DeleteAction.php,/src/Charcoal/Admin/Action/Object/ExportAction.php,/src/Charcoal/Admin/Action/Object/LoadAction.php,/src/Charcoal/Admin/Action/Object/ReorderAction.php,/src/Charcoal/Admin/Action/Object/SaveAction.php,/src/Charcoal/Admin/Action/Object/UpdateAction.php,/src/Charcoal/Admin/Action/Widget/LoadAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineMultiAction.php"
"{{ parameter }} must be a {{ expectedType }}, received {{ actualType }}","{{ parameter }} must be a {{ expectedType }}, received {{ actualType }}","{{ parameter }} doit être de type {{ expectedType }}, reçu {{ actualType }}","/src/Charcoal/Admin/Action/Object/DeleteAction.php,/src/Charcoal/Admin/Action/Object/ExportAction.php,/src/Charcoal/Admin/Action/Object/ReorderAction.php,/src/Charcoal/Admin/Action/Object/SaveAction.php,/src/Charcoal/Admin/Action/Object/UpdateAction.php,/src/Charcoal/Admin/Action/Widget/LoadAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineMultiAction.php"
"No object found.","No object found.","Aucun objet trouvé.","/src/Charcoal/Admin/Action/Object/DeleteAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineAction.php"
"Object permanently deleted.","Object permanently deleted.","Objet supprimé en permanence.","/src/Charcoal/Admin/Action/Object/DeleteAction.php"
"Deleted Object: {{ objId }}","Deleted Object: {{ objId }}","Objet supprimé : {{ objId }}","/src/Charcoal/Admin/Action/Object/DeleteAction.php"
"Failed to export object(s)","Failed to export object(s)","Impossible d'exporter le ou les objet(s)","/src/Charcoal/Admin/Action/Object/ExportAction.php"
"Failed to load object(s)","Failed to load object(s)","Échec de chargement des objets","/src/Charcoal/Admin/Action/Object/LoadAction.php"
"No objects found.","No objects found.","Aucun objet trouvé.","/src/Charcoal/Admin/Action/Object/LoadAction.php"
"One object found.","One object found.","Un objet trouvé.","/src/Charcoal/Admin/Action/Object/LoadAction.php"
"{{ count }} objects found.","{{ count }} objects found.","{{ count }} objets trouvés.","/src/Charcoal/Admin/Action/Object/LoadAction.php"
"Failed to sort object(s)","Failed to sort object(s)","Échec de tri des objets","/src/Charcoal/Admin/Action/Object/ReorderAction.php"
"Missing ""{{ propIdent }}"" property for sorting on {{ objType }}","Missing ""{{ propIdent }}"" property for sorting on {{ objType }}",Propriété “{{ propIdent }}“ manquante pour le tri sur {{ objType }},"/src/Charcoal/Admin/Action/Object/ReorderAction.php"
"Object has been successfully updated.","Object has been successfully updated.","Objet a été mis à jour avec succès.","/src/Charcoal/Admin/Action/Object/ReorderAction.php,/src/Charcoal/Admin/Action/Object/UpdateAction.php"
"Objects have been successfully reordered.","Objects have been successfully reordered.","Les objets ont été triés avec succès.","/src/Charcoal/Admin/Action/Object/ReorderAction.php"
"Failed to restore revision","Failed to restore revision","Échec de la restauration de la révision","/src/Charcoal/Admin/Action/Object/RevertRevisionAction.php"
"Object has been successfully restored to revision from {{ revisionDate }}","Object has been successfully restored to revision from {{ revisionDate }}","Objet restauré, avec succès, à la révision de {{ revisionDate }}","/src/Charcoal/Admin/Action/Object/RevertRevisionAction.php"
"Restored Revision: {{ revisionNum }}","Restored Revision: {{ revisionNum }}","Révision restaurée : {{ revisionNum }}","/src/Charcoal/Admin/Action/Object/RevertRevisionAction.php"
"Reverted Object: {{ objId }}","Reverted Object: {{ objId }}","Objet rétabli : {{ objId }}","/src/Charcoal/Admin/Action/Object/RevertRevisionAction.php"
"Failed to create object","Failed to create object","Échec de la création de l'objet","/src/Charcoal/Admin/Action/Object/SaveAction.php"
"Invalid Data","Invalid Data","Données invalides","/src/Charcoal/Admin/Action/Object/SaveAction.php,/src/Charcoal/Admin/Action/Object/UpdateAction.php"
"Object has been successfully created.","Object has been successfully created.","Objet a été créé avec succès.","/src/Charcoal/Admin/Action/Object/SaveAction.php"
"Created Object: {{ objId }}","Created Object: {{ objId }}","Objet créé : {{ objId }}","/src/Charcoal/Admin/Action/Object/SaveAction.php"
"Failed to update object","Failed to update object","Échec de la mise à jour de l'objet","/src/Charcoal/Admin/Action/Object/UpdateAction.php"
"Updated Object: {{ objId }}","Updated Object: {{ objId }}","Objet mis à jour : {{ objId }}","/src/Charcoal/Admin/Action/Object/UpdateAction.php"
"Failed to reload widget","Failed to reload widget","Échec de rechargement du widget","/src/Charcoal/Admin/Action/Widget/LoadAction.php"
"Failed to load widget","Failed to load widget","Échec de chargement du widget","/src/Charcoal/Admin/Action/Widget/LoadAction.php"
"Widget Reloaded","Widget Reloaded","Widget rechargé","/src/Charcoal/Admin/Action/Widget/LoadAction.php"
"Widget Loaded","Widget Loaded","Widget chargé","/src/Charcoal/Admin/Action/Widget/LoadAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineAction.php"
"Failed to load quick edit","Failed to load quick edit","Échec de chargement de la modification rapide","/src/Charcoal/Admin/Action/Widget/Table/InlineAction.php,/src/Charcoal/Admin/Action/Widget/Table/InlineMultiAction.php"
"Widgets Loaded","Widgets Loaded","Widgets chargés","/src/Charcoal/Admin/Action/Widget/Table/InlineMultiAction.php"
"— None —","— None —","— Aucun —","/src/Charcoal/Admin/Property/AbstractSelectableInput.php"
"Media Library","Media Library","Bibliothèque de médias","/templates/charcoal/admin/widget/sidemenu.mustache,/src/Charcoal/Admin/Property/Input/FileInput.php,/src/Charcoal/Admin/Property/Input/TinymceInput.php"
"Choose File…","Choose File…","Choisissez un fichier…","/src/Charcoal/Admin/Property/Input/FileInput.php"
"Remove File","Remove File","Retirer le fichier","/src/Charcoal/Admin/Property/Input/FileInput.php"
"Choose Image…","Choose Image…","Choisissez une image…","/src/Charcoal/Admin/Property/Input/ImageInput.php"
"Remove Image","Remove Image","Retirer l’image","/src/Charcoal/Admin/Property/Input/ImageInput.php"
"Library","Library","Librairie","/src/Charcoal/Admin/Template/ElfinderTemplate.php"
"Support","Support","Support","/src/Charcoal/Admin/Template/HelpTemplate.php"
"The ""{{ objType }}"" table has been created.","The ""{{ objType }}"" table has been created.","La table ""{{ objType }}"" a été créée.","/src/Charcoal/Admin/Template/Object/CollectionTemplate.php"
"Collection: {{ objType }}","Collection: {{ objType }}","Collection : {{ objType }}","/src/Charcoal/Admin/Template/Object/CollectionTemplate.php"
"Edit: {{ objType }} #{{ id }}","Edit: {{ objType }} #{{ id }}","Modifier : {{ objType }} #{{ id }}","/src/Charcoal/Admin/Template/Object/EditTemplate.php"
"Create: {{ objType }}","Create: {{ objType }}","Créer : {{ objType }}","/src/Charcoal/Admin/Template/Object/EditTemplate.php"
"Administrators","Administrators","Administrateurs","/src/Charcoal/Admin/Template/System/UsersTemplate.php"
"Save","Save","Sauvegarder","/src/Charcoal/Admin/Widget/FormWidget.php,/src/Charcoal/Admin/Widget/ObjectFormWidget.php"
"Map","Map","Carte","/src/Charcoal/Admin/Widget/MapWidget.php"
"Update","Update","Mettre à jour","/src/Charcoal/Admin/Widget/ObjectFormWidget.php"
"Objects list navigation","Objects list navigation","Navigation de la liste des objects","/src/Charcoal/Admin/Widget/TableWidget.php"
